Cores-4 Perf,Cores-4 Pwr,Cores-3 Perf,Cores-3 Pwr,Cores-2 Perf,Cores-2 Pwr,Cores-1 Perf,Cores-1Pwr,Cores-4 Perf Norm,Cores-4 Pwr Norm,Cores-3 Perf Norm,Cores-3 Pwr Norm,Cores-2 Perf Norm,Cores-2 Pwr Norm,Cores-1 Perf Norm,Cores-1Pwr Norm
1.211255,5.660836,1.025143,5.586424,0.757221,4.691981,0.374128,2.735287,0.878137175,0.966763118,0.743209463,0.954054964,0.548971034,0.801301112,0.271235789,0.467134994
1.307177,5.793084,1.088863,5.336614,0.722335,3.687784,0.357874,2.201619,0.947678828,0.989348561,0.789405269,0.911392167,0.523679338,0.629803364,0.259451943,0.37599465
1.379346,5.855453,1.035843,4.457737,0.689704,3.12315,0.340986,1.907718,1,1,0.750966763,0.761296692,0.500022474,0.533374617,0.24720846,0.325801949
1.317192,5.043401,0.990162,3.859441,0.658012,2.740085,0.324758,1.700123,0.954939515,0.861316964,0.717848894,0.659119115,0.477046368,0.467954401,0.235443464,0.290348672
1.248266,4.33362,0.937725,3.353366,0.625099,2.397405,0.307661,1.504672,0.904969457,0.740099869,0.679833051,0.572691131,0.45318506,0.409431175,0.223048459,0.256969358
1.180453,3.74174,0.88555,2.908992,0.586755,2.107981,0.290046,1.329555,0.855806302,0.639018023,0.642007154,0.496800504,0.425386379,0.36000306,0.210277914,0.227062705
1.110847,3.317855,0.834181,2.593449,0.551587,1.893633,0.272419,1.200976,0.805343257,0.566626527,0.604765592,0.442911761,0.399890238,0.323396499,0.19749867,0.205103858
1.039775,3.022084,0.783057,2.365414,0.517339,1.741728,0.255096,1.109479,0.753817389,0.516114466,0.56770165,0.40396772,0.37506108,0.297454014,0.184939819,0.189477911
0.967032,2.656949,0.727805,2.090584,0.479914,1.552266,0.236627,0.992084,0.701080077,0.453756353,0.527644985,0.357031984,0.347928656,0.265097508,0.17155014,0.169429077
0.893628,2.32578,0.670776,1.845523,0.445603,1.375555,0.218095,0.885634,0.647863553,0.397198987,0.486300029,0.315180226,0.323053824,0.234918631,0.158114788,0.151249442
0.818351,2.028716,0.613804,1.618728,0.406194,1.210576,0.199115,0.787222,0.593289138,0.346466106,0.444996397,0.276447954,0.294483038,0.206743355,0.144354643,0.134442544
0.742071,1.760391,0.555476,1.40754,0.367577,1.058008,0.179961,0.690397,0.537987568,0.3006413,0.40270969,0.24038106,0.266486436,0.180687643,0.130468352,0.117906676
0.665564,1.512358,0.497473,1.212682,0.328769,0.918414,0.160389,0.602481,0.482521427,0.258281981,0.360658602,0.20710302,0.238351364,0.156847643,0.116279019,0.102892295
0.586434,1.353984,0.43814,1.090609,0.289107,0.831474,0.140544,0.553342,0.42515366,0.231234714,0.317643289,0.186255274,0.209597157,0.141999944,0.101891766,0.094500289
0.504604,1.19363,0.377473,0.967624,0.24879,0.743916,0.120386,0.497732,0.365828443,0.203849301,0.273660851,0.165251775,0.180368087,0.127046703,0.087277594,0.085003159
0.421616,1.030927,0.314731,0.842477,0.20708,0.648399,0.099774,0.440781,0.305663699,0.176062723,0.228174077,0.143879047,0.150129119,0.110734216,0.07233428,0.075277011
0.338541,0.8773,0.251907,0.724944,0.16507,0.561939,0.078992,0.38243,0.24543588,0.149826154,0.182627854,0.123806647,0.119672656,0.095968493,0.05726772,0.06531177
0.252449,0.707705,0.187939,0.586418,0.122362,0.457267,0.057748,0.324178,0.183020794,0.120862553,0.136252253,0.100149041,0.088710157,0.078092506,0.041866218,0.055363436
0.165405,0.527369,0.122706,0.441287,0.079059,0.353032,0.036584,0.262552,0.119915525,0.090064594,0.08895955,0.075363426,0.057316293,0.060291151,0.026522714,0.044838888
0.505686,1.11148,0.385625,0.935517,0.254835,0.74039,0.12806,0.533687,0.366612873,0.189819643,0.279570898,0.15976851,0.184750599,0.12644453,0.0928411,0.091143589
0.477561,0.987097,0.362729,0.836804,0.2408,0.6608,0.120136,0.481482,0.346222775,0.168577393,0.262971727,0.142910207,0.174575487,0.112852071,0.087096349,0.082227968
0.447269,0.868385,0.339073,0.733115,0.223519,0.583455,0.111582,0.433604,0.324261643,0.148303641,0.245821571,0.125202098,0.162047086,0.099643017,0.080894859,0.074051316
0.41399,0.77789,0.314815,0.65649,0.207174,0.526542,0.102992,0.397274,0.300134992,0.132848816,0.228234975,0.112116005,0.150197267,0.089923359,0.07466727,0.067846843
0.38211,0.692149,0.289497,0.585988,0.189744,0.477182,0.094229,0.363511,0.277022589,0.118205884,0.2098799,0.100075605,0.137560844,0.081493609,0.068314259,0.062080765
0.348058,0.620166,0.263371,0.524234,0.172836,0.435966,0.08552,0.333494,0.252335527,0.105912557,0.190939039,0.089529196,0.125302861,0.074454701,0.062000397,0.056954432
0.313596,0.527446,0.236972,0.458254,0.155697,0.37956,0.076359,0.294338,0.227351223,0.090077745,0.171800259,0.078261067,0.112877407,0.064821629,0.055358844,0.050267332
0.277521,0.474,0.209552,0.41158,0.137356,0.345557,0.067092,0.27281,0.201197524,0.080950184,0.151921273,0.070290036,0.099580526,0.059014563,0.048640443,0.046590759
0.240361,0.420694,0.181188,0.368605,0.118721,0.314558,0.057583,0.254475,0.17425722,0.071846533,0.131357904,0.062950723,0.0860705,0.053720523,0.041746596,0.04345949
0.202806,0.375869,0.152314,0.33368,0.099736,0.292075,0.047899,0.240173,0.147030549,0.064191276,0.110424796,0.056986197,0.072306731,0.049880855,0.034725877,0.04101698
0.163586,0.342413,0.122697,0.307263,0.080143,0.271073,0.038071,0.228094,0.118596784,0.058477628,0.088953026,0.052474676,0.058102173,0.046294113,0.027600762,0.038954117
0.123054,0.306309,0.092117,0.279159,0.059895,0.250815,0.027926,0.216833,0.089211844,0.052311751,0.066783099,0.047675048,0.043422753,0.042834431,0.020245827,0.037030952
0.081358,0.268632,0.0606,0.249998,0.038992,0.228362,0.018002,0.203714,0.058983025,0.045877236,0.043933864,0.042694903,0.028268469,0.038999886,0.013051113,0.034790477
